tên,thời gian,số người,độ khó,nguyên liệu,cách chế biến,link
Mứt dừa,115 phút,1 người ăn,N/A,500 g Cơm dừa (Cắt sợi) | 200 g Đường | 20 ml Sữa đặc | 20 g Chanh xanh,Ngâm cơm dừa với nước chanh pha loãng | Vớt cơm dừa ra  để ráo | Ướp đường (đến khi đường tan hoàn toàn) | Cho hỗn hợp lên chảo  sên đến khi đường kết tinh,https://www.maggi.com.vn/cong-thuc/mut-dua
Bò lúc lắc,27 phút,2 người ăn,N/A,50 g Hành Tây | 50 g Ớt Chuông | 50 g Cà Chua | 5 g Tỏi xay | 10 ml Dầu Ăn | 10 g Bơ | 30 ml Nước | 150 g Thịt bò | 25 g Maggi Dầu hào bào ngư | 10 g MAGGI Tương Ớt | 400 mg Tiêu xay,Ướp thịt bò với dầu hào bào ngư  tiêu xay 15 phút cho thấm gia vị | Xào tỏi với dầu ăn 30 giây cho thơm | Thêm thịt bò vào xào 1 phút | Thêm hành tây  ớt chuông vào  tiếp tục xào 1 phút | Nêm với dầu hào bào ngư  tương ớt  tiêu xay  nước lọc cho vừa ăn | Thêm cà chua  bơ vào. Tiếp tục xào 30 giây nữa là được | Để bò lúc lác vào dĩa  dùng nóng.,https://www.maggi.com.vn/cong-thuc/bo-luc-lac
Mực xào chua ngọt,27 phút,2 người ăn,N/A,50 g Cà Chua | 50 g Hành Tây | 50 g Thơm (Dứa) | 5 g Cần Ta | 5 g Tỏi xay | 10 ml Dầu Ăn | 150 g Mực Ống | 15 g Maggi Dầu hào bào ngư | 10 g MAGGI Tương Ớt | 10 g Tương Cà | 10 ml Giấm | 40 ml Nước | 15 g Đường | 10 g Cà chua | 7 g Ớt Chuông | 1 gam Gừng | 100 mg Tiêu xay,Làm sốt chua ngọt: Đun sôi các nguyên liệu sốt chua ngọt. Xay nhuyễn  lược nước sốt lại cho mịn | Ướp mực với dầu hào bào ngư  tiêu xay 15 phút cho thấm gia vị | Xào tỏi với dầu ăn cho thơm | Thêm mực vào xào sơ 1 phút | Thêm rau củ vào xào tiếp 1 phút | Thêm xốt chua ngọt vào  xào cho thấm gia vị 1 phút | Để mực xào vào dĩa. Dùng nóng,https://www.maggi.com.vn/cong-thuc/muc-xao-chua-ngot
Cá Điêu Hồng Singapore,60 phút,2 người ăn,N/A,Cá Diêu Hồng | Gừng | Đường Trắng | Dầu Mè | Rượu Gạo | Màu Điều | Sốt Hoisin | Tiêu Xay | Ớt xắt lát | Đầu hành | 1 muỗng canh Dầu Ăn | Nước tương MAGGI | Dầu hào MAGGI | Hạt nêm MAGGI nấm hương | Hành ngò | Muối | Giấm | 1 muỗng canh Giấm đen,Cá diêu hồng sau khi mua về  bạn làm sạch rồi rửa qua với giấm và muối để khử mùi tanh. Rửa lại với nước rồi để ráo nước. Dùng dao khứa xéo lên 2 mặt của thân cá rồi ướp cá với 1 muỗng canh nước tương MAGGI  tiêu xay trong 15 phút cho cá được thấm gia vị  nhớ ướp cả trong bụng cá nhé. Tỏi và gừng bạn bỏ vỏ  rửa sạch sau đó cắt lát. | Trong khi chờ ướp cá  chúng ta tiến hành pha hỗn hợp gia vị gồm nước tương MAGGI và dầu hào MAGGI  giấm đen  sốt Hoisin  rượu gạo  đường trắng  dầu mè  màu điều và hạt nêm MAGGI nấm hương. Khuấy đều cho hỗn hợp tan đều và hòa quyện với nhau. | Làm nóng chảo trên bếp  thêm vào dầu ăn rồi đổ ớt khô  tỏi và gừng cắt lát vào xào cho thơm. Sau đó đổ hỗn hợp gia vị vừa pha vào. Đun cho hỗn hợp sôi lên  dậy mùi thơm thì bắt đầu cho cá diêu hồng vào chảo kho. | Trong lúc kho  bạn nhớ dùng muỗng tưới nước sốt lên mặt cá thường xuyên để thịt cá thấm gia vị hơn. Cá kho tộ hạn chế lật mặt để tránh thịt cá bị nát  không được đẹp mắt. Khi kho  nên đậy nắp để cá chín đều và thơm. Sau 15 phút kho trên bếp  phần nước kho đã sệt và có màu nâu bóng đẹp mắt thì rắc thêm đầu hành trắng vào chảo  kho thêm một lúc thì tắt bếp. | Khi cá đã kho xong  bày ra dĩa và trang trí với hành lá cắt nhỏ  ngò hoặc thêm vài lát ớt cho thơm. Phần nước kho cá dùng để chấm rau luộc thì ngon lắm luôn. Cá diêu hồng kho thơm mềm  thấm gia vị sốt Singapore đậm đà ăn cùng cơm trắng vừa ngon  vừa mới lạ thì còn gì bằng.,https://www.maggi.com.vn/cong-thuc/ca-dieu-hong-kho-sot-singapore
Ghẹ Xào Sữa Hạnh Nhân,30 phút,1 người ăn,N/A,Dầu hào Maggi | Hạnh nhân | Ghẹ | Sữa bò | Bột năng | Đường trắng | Nước | Ngò | Dầu ăn,Bạn làm nóng chảo  cho hạnh nhân vào rang thơm rồi đổ ra dĩa. Với ghẹ  bạn rửa sạch sau đó đặt vào nồi  thêm nước và bắt đầu luộc  khi ghẹ chín hãy để nguội rồi bóc lấy thịt. Bạn cho từ từ sữa bò vào bột năng  khuấy đều cho bột tan hoàn toàn  nếu muốn vị đậm hơn  bạn có thể nêm thêm gia vị. | Đổ dầu vào chảo  đun nóng rồi cho hỗn hợp sữa cùng bột năng vào. Khuấy đều đến khi hỗn hợp sôi lăn tăn thì thêm hạnh nhân cùng thịt ghẹ. Xào đến khi hỗn hợp sệt dần hãy thêm dầu hào MAGGI  đảo đều trong 2 phút là có thể tắt bếp. | Cho món ghẹ xào sữa hạnh nhân vào dĩa  trang trí thêm ít rau ngò cho bắt mắt. Món ngon có thể kết hợp cùng cơm trắng và ăn khi còn nóng. Vị béo của sữa ngấm vào thịt cua ngọt thanh cùng với hạt hạnh nhân bùi thơm sẽ đem đến một trải nghiệm vị giác thật tuyệt vời đó nha!,https://www.maggi.com.vn/cong-thuc/thit-ghe-xao-hanh-nhan-sua-bo
Ức Gà Phi Lê Sốt Nho,57 phút,6 người ăn,N/A,Ức gà | Nho xanh | Nước dừa | Hành tím | Hành lá | Tỏi | 4 muỗng canh Dầu Ăn | 3 g Tiêu Xay | 1 muỗng cà phê Đường Trắng | 2 muỗng canh Mật Ong | 1 muỗng canh Tương Cà | 2 muỗng cà phê MAGGI Hạt Nêm Nấm Hương | 2 muỗng canh MAGGI Nước Tương,Nho rửa sạch và cắt đôi theo chiều dọc. Ức gà chà xát muối rồi rửa kĩ với nước để khử mùi tanh  rửa xong dùng khăn sạch thấm khô nước và cắt ức gà thành các miếng dày khoảng 2cm  rộng khoảng 5-6cm. Thịt gà sau khi sơ chế xong thì đem ướp với 1 muỗng cà phê hạt nêm MAGGI nấm hương  1 muỗng canh nước tương MAGGI  mật ong và tiêu xay. Trộn đều ức gà cùng các nguyên liệu  thịt ướp ít nhất 15 phút cho thấm gia vị. | Bắc chảo lên bếp  chờ chảo nóng thêm vào dầu ăn. Khi dầu ăn đã nóng thì bạn cho ức gà vào áp chảo các mặt cho dậy mùi thơm  xém vàng các mặt thì gắp ức gà ra dĩa. Cách làm ức gà phi lên áp chảo không chỉ giúp miếng thịt có được màu vàng đẹp mắt mà còn giúp thịt được săn lại  giữ trọn độ ẩm. Ức gà càng tươi áp chảo sẽ càng ngon. | Dùng 1 chiếc chảo sâu lòng hoặc nồi chống dính bắc lên bếp chờ nóng thì cho dầu ăn vào  phi thơm hành và tỏi băm để món ăn dậy mùi và thơm ngon hơn. Tránh để lửa quá lớn sẽ mau khét hành tỏi. Khi tỏi và hành vừa vàng tới thì cho vào nước dừa  tương cà  đường trắng  phần nước tương MAGGI và hạt nêm MAGGI nấm hương còn lại vào  khuấy đều cho toàn bộ gia vị hòa quyện với nhau. | Đun hỗn hợp nước sốt đến khi sôi lên thì cho ức gà đã áp chảo và nho đã sơ chế vào. Trộn nhẹ lên rồi chỉnh lửa nhỏ  đậy nắp lại rim ức gà trong khoảng 15 phút. Lúc này nho sẽ mềm ra và hòa quyện hương vị ngọt thanh từ trái cây tươi vào nước sốt. Rim đến khi nước sốt keo lại  gà áo lên màu nâu đỏ đẹp mắt của nước sốt thì rắc thêm hành lá cắt nhỏ lên trên rồi tắt bếp. | Trình bày ức gà phi lê sốt nho ra dĩa và thưởng thức thôi. Ức gà rim lâu trong nước sốt nhưng không hề bị mất đi vị ngọt vốn có mà càng đậm đà cuốn hút hơn. Miếng ức gà vừa ăn  xém cạnh vừa thơm vừa hòa quyện cùng sốt nho mặn mặn ngọt ngọt sẽ cho bạn trải nghiệm món ăn ngon trên cả tưởng tượng.,https://www.maggi.com.vn/cong-thuc/uc-ga-phi-le-sot-trai-nho
Canh măng gà nấm hương,70 phút,4 người ăn,N/A,13 g MAGGI Hạt Nêm Nấm Hương | 500 g Thịt Gà Ta | 250 g Măng Khô Đã Ngăm | 100 g Nấm Hương | 2 Muỗng cà phê Bột ngọt | 2 củ Hành tím | 4 muỗng cà phê Dầu Ăn | 5 lít Nước lọc | 5 nhánh Hành Lá | 2 nhánh Ngò Rí,Đầu tiên bạn sơ chế măng khô. Trước khi nấu cần ngâm măng trong 3 giờ với nước sôi  hoặc 8 giờ với nước lạnh. Sau khi ngâm  bạn rửa măng nhiều lần với nước sạch  và luộc 20 phút để măng được mềm. | Để chuẩn bị gà  bạn rửa sạch cắt miếng vừa ăn  ướp 10 phút hạt nêm nấm hương. Sau đó  bạn phi thơm hành tím trong dầu ăn  xào gà cho thơm.Khi gà đã hơi ngả vàng  bạn cho thêm nước vào nồi  đến khi nước sôi thì nấu 10 phút để gà chín mềm. | Tiếp theo  bạn phi thơm hành tím với dầu ăn  sau đó xào sơ măng khoảng 10 phút cho đến khi măng thơm và mềm hơn. | Cuối cùng  bạn cho măng vào nồi gà đang nấu  nêm hết các gia vị đã chuẩn bị  rồi nấu thêm 2-5 phút nữa với lửa nhỏ.Bạn múc ra tô lớn  thêm hành và ngò rí cho thơm và trang trí đẹp mắt  là đã có thể thưởng thức rồi.,https://www.maggi.com.vn/cong-thuc/canh-mang-ga-nam-huong
Gà Xào Hạt Điều,30 phút,2 người ăn,N/A,Đùi gà | Hạt điều rang | Tỏi băm | Ớt | Bột mì | Hành tây cắt vuông 3cm | Tương cà | Dầu ăn | Hành lá | Tương ớt | Dầu Hào Maggi | Hạt Nêm Maggi | Nước Tương Maggi | Muối,Làm nóng dầu trong chảo đến khi dầu sôi thì đổ ớt bằm vào xào đều tay. Bạn xào ớt trên lửa nhỏ để ớt có mùi thơm  không bị cháy. Sau đó tắt bếp và đổ ớt ra đĩa. | Rửa sạch đùi gà với nước  xát chút muối để khử mùi sau đó xả lại  cắt miếng vừa ăn. Bạn cho thịt gà và bột mì đa dụng vào tô rồi trộn đều để bột phủ một lớp mỏng lên gà. Cho dầu vào chảo  đun nóng ở lửa vừa  thêm thịt gà đã lăn bột vào xào chín  vàng đều các mặt rồi vớt ra để riêng. | Tranh thủ lúc chảo xào gà còn nóng  bạn cho thêm dầu ăn  phi tỏi đến khi dậy mùi thơm và hơi cháy cạnh  trút thịt gà và hành tây vào xào thêm khoảng 1 phút. | Lần lượt thêm các nguyên liệu còn lại gồm: hạt điều  dầu ớt bằm  tương ớt  tương cà  dầu hào MAGGI  nước tương MAGGI  đường và hạt nêm MAGGI nấm hương vào chảo  xào trong khoảng 2 đến 3 phút với lửa nhỏ cho các nguyên liệu thấm đều gia vị rồi tắt bếp. Bày món gà xào ra đĩa  trang trí với hành lá rồi thưởng thức hương vị Thái đặc trưng ngay tại nhà thôi!,https://www.maggi.com.vn/cong-thuc/ga-xao-hat-dieu
Măng Tây Xào Thịt Gà,27 phút,3 người ăn,N/A,Măng tây | Ức gà | Gừng | Bơ thơm | Bột năng | Dầu ăn | Muối | Ngò rí | Tiêu xay | Hạt nêm Maggi Nấm hương | Nước tương Maggi,Măng tây cắt bỏ phần già  rửa sạch rồi cắt khúc khoảng 4cm. Trụng măng trong nước sôi thêm một chút muối và dầu ăn  vớt ra ngâm ngay vào nước đá lạnh để giữ độ giòn và xanh của măng. Bạn nhớ để ráo măng tây trước khi chế biến. Thịt gà rửa sạch  cắt thành miếng mỏng vừa ăn  ướp với gừng  1/2 muỗng canh hạt nêm MAGGI nấm hương  bột năng và một chút tiêu  trộn đều rồi để 10 phút cho thịt ngấm gia vị. | Bạn làm nóng chảo với một ít dầu ăn  mở lửa to rồi cho thịt gà đã ướp vào xào nhanh đến khi chín tái  bên ngoài thịt chuyển màu trắng thì trút ra dĩa. | Bạn làm nóng chảo trở lại  cho bơ lạt vào nấu đến khi tan chảy thì thêm măng tây  thịt gà xào nhanh tay trên lửa to cho chín đều là được. Nêm nếm măng tây xào với 1/2 muỗng canh hạt nêm MAGGI nấm hương  nước tương MAGGI cho vừa ăn  đảo đều rồi tắt bếp. | Món xào đã hoàn thành thì trình bày ra dĩa và cùng thưởng thức. Măng tây xào giòn ngọt với thịt gà dai dai ăn cùng cơm nóng sẽ rất ngon và tốt cho sức khỏe. Cách làm măng tây xào đơn giản nhưng đảm bảo nàng sẽ thích mê!,https://www.maggi.com.vn/cong-thuc/mang-tay-xao-thit-ga
Bò Kho Mật Mía,80 phút,4 servings,N/A,Tương Ớt | Gừng | Củ Sả | Quế | Mật Mía | Hạt nêm Maggi | Nước mắm Maggi | Bắp bò | Ớt bột | Mật ong | Nước cốt chanh | Sa tế | Nước tương MAGGI,Chuẩn bị: Bắp bò rửa sạch  để ráo nước. Sả đập dập  cắt khúc khoảng 5cm. Quế bẻ vụn. Gừng giã dập. Ở công đoạn này bạn nên dùng cối đá hoặc cối bằng gốm  tránh dùng cối gỗ sẽ làm thất thoát phần nước cốt của gừng. | Khâu tẩm ướp gia vị chính là bước thực hiện quan trọng nhất của món này. Trộn đều quế  gừng  sả  ớt bột  nước mắm MAGGI và hạt nêm MAGGI nấm hương. Thêm mật mía vào trộn đều. Ướp thịt bò cùng hỗn hợp vừa trộn tối thiểu trong 1 tiếng. Bí quyết để món Bò kho mật mía mang hương vị mới lạ  đậm đà  dậy vị chính là sử dụng nước mắm và hạt nêm nấm hương nhà MAGGI đấy! | Đặt nồi thịt bò đã ướp lên bếp  đậy vung đun với lửa to đến khi nồi thịt sôi khoảng 10 phút thì bạn tắt bếp  để thịt nguội. | Tiếp tục đun lần 2  trong quá trình đun bạn nhớ đậy vung  thỉnh thoảng lật miếng thịt cho ngấm và đều màu. Đun đến khi cạn nước là được. | Khi ăn  bạn có thể dùng kèm với cơm nóng cùng nước chấm theo công thức sau: nước tương MAGGI  mật ong  sa tế  nước cốt chanh  tương ớt. Tất cả trộn đều là bạn đã có 1 bát nước chấm chuẩn vị rồi đấy. Rưới thêm nước bò kho lên trên món ăn cho thêm phần đậm đà nhé!,https://www.maggi.com.vn/cong-thuc/bo-kho-mat-mia
Bạch Tuộc Xào Ớt Sừng,32 phút,2 người ăn,N/A,Bạch Tuộc | Ớt sừng | Sả Xay | Dầu Ăn | Đường | Muối | Dầu hào Maggi | Hạt nêm Maggi | Nước cốt chanh,Bỏ sạch phần mắt  phần ruột bạch tuộc  dùng nước cốt chanh rửa sạch bạch tuộc rồi ngâm nước muối lạnh khoảng 15 phút để loại bỏ bớt mùi và nhớt. Bạn nên chần sơ bạch tuộc qua nước sôi trước khi xào để loại bỏ lớp nhớt và giúp món xào được ngon hơn. Ớt sừng trâu rửa sạch  bỏ hạt và cắt lát mỏng. Bạch tuộc để nguyên đầu hoặc chẻ đôi. | Làm nóng dầu trên chảo  phi thơm sả rồi cho bạch tuộc vào xào săn  nêm thêm dầu hào MAGGI  hạt nêm MAGGI nấm hương  muối và đường. Xào với lửa lớn và đảo nhanh tay để bạch tuộc không bị mất nước và giữ được độ giòn  không nên xào quá lâu sẽ khiến bạch tuộc bị dai. | Khi bạch tuộc đã săn chín  các gia vị thấm đều và dậy mùi thơm  bạn cho thêm ớt sừng vào xào nhanh rồi tắt bếp. Món ăn giữ được vị giòn ngon của bạch tuộc và cay nhẹ của ớt  không bị mềm quá hay dai quá là đạt bạn nhé. | Bày món ăn ra đĩa  dùng nóng với cơm trắng sẽ rất ngon. Bạn có thể trang trí món ăn với tiêu xay và vài lá ngò cho bắt mắt nhé. Món ăn có vị ngon và ngọt tự nhiên từ bạch tuộc  cay nhẹ từ ớt và thơm mùi sả  lạ miệng và kích thích vị giác  cứ muốn ăn mãi không thôi.,https://www.maggi.com.vn/cong-thuc/bach-tuoc-xao-ot-sung
Chả Lươn Cuộn Dứa Xào,80 phút,5 người ăn,N/A,Lươn | Giò Sống | Thơm | Bột Năng | Tỏi | Hành Khô | Rau Răm | Đường Trắng | Sốt Cà Chua | Dầu Hào MAGGI | Hành lá | Muối hạt | Nước cốt chanh | Dầu ăn | Bột nghệ,Lươn cần được làm sạch  tách thịt và xương riêng. Bạn băm nhỏ phần thịt rồi đem ướp cùng bột nghệ  tiêu xay  rau răm cùng 2 muỗng canh dầu hào MAGGI. Đối với xương và đầu  hãy ninh lấy nước dùng. Lưu ý để giảm đi độ nhớt của lươn  bạn có thể chà lươn với muối hạt rồi rửa qua nước cốt chanh và rửa thêm một lần nước. Bạn không dùng giấm để rửa vì sẽ mất đi mùi thơm đặc trưng của thịt lươn. | Khi thịt lươn thấm vị  cho vào tô cùng giò sống  thêm lượng còn lại dầu hào MAGGI vào cùng. Lúc này hãy gọt vỏ và loại bỏ mắt dứa  chọn phần lõi cứng ở giữa quả  cắt thành từng thanh vuông dài tầm 10cm. | Bạn đeo bao tay vào  lấy lượng giò sống cùng thịt lươn vừa trộn lúc nảy đem bao bọc xung quanh từng thanh dứa để được những cuộn chả lươn bắt mắt. Lưu ý chừa một đoạn dứa trống để dễ cầm hơn và hãy nắn chả theo hình giọt nước cho món ăn thêm độc đáo. | Đổ dầu vào chảo  đun sôi thì cho hành vào  đợi hành vàng thơm thì cho chả lươn bọc dứa vào chiên  nhớ trở đều các mặt chả. Khi thấy chả lươn chín vàng đều thì múc bớt lượng dầu trong chảo ra  thêm vào sốt cà chua cùng tỏi và nước ninh xương. Lưu ý hãy hòa tan bột năng cùng đường vào nước dùng trước đó. Đảo đều để sốt áo toàn bộ phần chả lươn bạn nhé! | Bạn nấu sốt đến khi sệt lại thì tắt bếp  cho Chả Lươn Cuộn Dứa Xào ra dĩa  rải lên bề mặt chút hành. Món này dùng kèm cơm nóng thì ngon quên lối về đấy. Vị chua ngọt của nước sốt bao trọn lấy từng xiên chả lươn giòn thơm lại thêm hương dứa đặc trưng sẽ khó chối từ lắm nhen.,https://www.maggi.com.vn/cong-thuc/cha-luon-cuon-dua-xao-chua-ngot
Mứt dừa,115 phút,1 người ăn,N/A,500 g Cơm dừa (Cắt sợi) | 200 g Đường | 20 ml Sữa đặc | 20 g Chanh xanh,Ngâm cơm dừa với nước chanh pha loãng | Vớt cơm dừa ra  để ráo | Ướp đường (đến khi đường tan hoàn toàn) | Cho hỗn hợp lên chảo  sên đến khi đường kết tinh,https://www.maggi.com.vn/cong-thuc/mut-dua
Bò lúc lắc,27 phút,2 người ăn,N/A,50 g Hành Tây | 50 g Ớt Chuông | 50 g Cà Chua | 5 g Tỏi xay | 10 ml Dầu Ăn | 10 g Bơ | 30 ml Nước | 150 g Thịt bò | 25 g Maggi Dầu hào bào ngư | 10 g MAGGI Tương Ớt | 400 mg Tiêu xay,Ướp thịt bò với dầu hào bào ngư  tiêu xay 15 phút cho thấm gia vị | Xào tỏi với dầu ăn 30 giây cho thơm | Thêm thịt bò vào xào 1 phút | Thêm hành tây  ớt chuông vào  tiếp tục xào 1 phút | Nêm với dầu hào bào ngư  tương ớt  tiêu xay  nước lọc cho vừa ăn | Thêm cà chua  bơ vào. Tiếp tục xào 30 giây nữa là được | Để bò lúc lác vào dĩa  dùng nóng.,https://www.maggi.com.vn/cong-thuc/bo-luc-lac
Mực xào chua ngọt,27 phút,2 người ăn,N/A,50 g Cà Chua | 50 g Hành Tây | 50 g Thơm (Dứa) | 5 g Cần Ta | 5 g Tỏi xay | 10 ml Dầu Ăn | 150 g Mực Ống | 15 g Maggi Dầu hào bào ngư | 10 g MAGGI Tương Ớt | 10 g Tương Cà | 10 ml Giấm | 40 ml Nước | 15 g Đường | 10 g Cà chua | 7 g Ớt Chuông | 1 gam Gừng | 100 mg Tiêu xay,Làm sốt chua ngọt: Đun sôi các nguyên liệu sốt chua ngọt. Xay nhuyễn  lược nước sốt lại cho mịn | Ướp mực với dầu hào bào ngư  tiêu xay 15 phút cho thấm gia vị | Xào tỏi với dầu ăn cho thơm | Thêm mực vào xào sơ 1 phút | Thêm rau củ vào xào tiếp 1 phút | Thêm xốt chua ngọt vào  xào cho thấm gia vị 1 phút | Để mực xào vào dĩa. Dùng nóng,https://www.maggi.com.vn/cong-thuc/muc-xao-chua-ngot
Cá Điêu Hồng Singapore,60 phút,2 người ăn,N/A,Cá Diêu Hồng | Gừng | Đường Trắng | Dầu Mè | Rượu Gạo | Màu Điều | Sốt Hoisin | Tiêu Xay | Ớt xắt lát | Đầu hành | 1 muỗng canh Dầu Ăn | Nước tương MAGGI | Dầu hào MAGGI | Hạt nêm MAGGI nấm hương | Hành ngò | Muối | Giấm | 1 muỗng canh Giấm đen,Cá diêu hồng sau khi mua về  bạn làm sạch rồi rửa qua với giấm và muối để khử mùi tanh. Rửa lại với nước rồi để ráo nước. Dùng dao khứa xéo lên 2 mặt của thân cá rồi ướp cá với 1 muỗng canh nước tương MAGGI  tiêu xay trong 15 phút cho cá được thấm gia vị  nhớ ướp cả trong bụng cá nhé. Tỏi và gừng bạn bỏ vỏ  rửa sạch sau đó cắt lát. | Trong khi chờ ướp cá  chúng ta tiến hành pha hỗn hợp gia vị gồm nước tương MAGGI và dầu hào MAGGI  giấm đen  sốt Hoisin  rượu gạo  đường trắng  dầu mè  màu điều và hạt nêm MAGGI nấm hương. Khuấy đều cho hỗn hợp tan đều và hòa quyện với nhau. | Làm nóng chảo trên bếp  thêm vào dầu ăn rồi đổ ớt khô  tỏi và gừng cắt lát vào xào cho thơm. Sau đó đổ hỗn hợp gia vị vừa pha vào. Đun cho hỗn hợp sôi lên  dậy mùi thơm thì bắt đầu cho cá diêu hồng vào chảo kho. | Trong lúc kho  bạn nhớ dùng muỗng tưới nước sốt lên mặt cá thường xuyên để thịt cá thấm gia vị hơn. Cá kho tộ hạn chế lật mặt để tránh thịt cá bị nát  không được đẹp mắt. Khi kho  nên đậy nắp để cá chín đều và thơm. Sau 15 phút kho trên bếp  phần nước kho đã sệt và có màu nâu bóng đẹp mắt thì rắc thêm đầu hành trắng vào chảo  kho thêm một lúc thì tắt bếp. | Khi cá đã kho xong  bày ra dĩa và trang trí với hành lá cắt nhỏ  ngò hoặc thêm vài lát ớt cho thơm. Phần nước kho cá dùng để chấm rau luộc thì ngon lắm luôn. Cá diêu hồng kho thơm mềm  thấm gia vị sốt Singapore đậm đà ăn cùng cơm trắng vừa ngon  vừa mới lạ thì còn gì bằng.,https://www.maggi.com.vn/cong-thuc/ca-dieu-hong-kho-sot-singapore
Ghẹ Xào Sữa Hạnh Nhân,30 phút,1 người ăn,N/A,Dầu hào Maggi | Hạnh nhân | Ghẹ | Sữa bò | Bột năng | Đường trắng | Nước | Ngò | Dầu ăn,Bạn làm nóng chảo  cho hạnh nhân vào rang thơm rồi đổ ra dĩa. Với ghẹ  bạn rửa sạch sau đó đặt vào nồi  thêm nước và bắt đầu luộc  khi ghẹ chín hãy để nguội rồi bóc lấy thịt. Bạn cho từ từ sữa bò vào bột năng  khuấy đều cho bột tan hoàn toàn  nếu muốn vị đậm hơn  bạn có thể nêm thêm gia vị. | Đổ dầu vào chảo  đun nóng rồi cho hỗn hợp sữa cùng bột năng vào. Khuấy đều đến khi hỗn hợp sôi lăn tăn thì thêm hạnh nhân cùng thịt ghẹ. Xào đến khi hỗn hợp sệt dần hãy thêm dầu hào MAGGI  đảo đều trong 2 phút là có thể tắt bếp. | Cho món ghẹ xào sữa hạnh nhân vào dĩa  trang trí thêm ít rau ngò cho bắt mắt. Món ngon có thể kết hợp cùng cơm trắng và ăn khi còn nóng. Vị béo của sữa ngấm vào thịt cua ngọt thanh cùng với hạt hạnh nhân bùi thơm sẽ đem đến một trải nghiệm vị giác thật tuyệt vời đó nha!,https://www.maggi.com.vn/cong-thuc/thit-ghe-xao-hanh-nhan-sua-bo
Ức Gà Phi Lê Sốt Nho,57 phút,6 người ăn,N/A,Ức gà | Nho xanh | Nước dừa | Hành tím | Hành lá | Tỏi | 4 muỗng canh Dầu Ăn | 3 g Tiêu Xay | 1 muỗng cà phê Đường Trắng | 2 muỗng canh Mật Ong | 1 muỗng canh Tương Cà | 2 muỗng cà phê MAGGI Hạt Nêm Nấm Hương | 2 muỗng canh MAGGI Nước Tương,Nho rửa sạch và cắt đôi theo chiều dọc. Ức gà chà xát muối rồi rửa kĩ với nước để khử mùi tanh  rửa xong dùng khăn sạch thấm khô nước và cắt ức gà thành các miếng dày khoảng 2cm  rộng khoảng 5-6cm. Thịt gà sau khi sơ chế xong thì đem ướp với 1 muỗng cà phê hạt nêm MAGGI nấm hương  1 muỗng canh nước tương MAGGI  mật ong và tiêu xay. Trộn đều ức gà cùng các nguyên liệu  thịt ướp ít nhất 15 phút cho thấm gia vị. | Bắc chảo lên bếp  chờ chảo nóng thêm vào dầu ăn. Khi dầu ăn đã nóng thì bạn cho ức gà vào áp chảo các mặt cho dậy mùi thơm  xém vàng các mặt thì gắp ức gà ra dĩa. Cách làm ức gà phi lên áp chảo không chỉ giúp miếng thịt có được màu vàng đẹp mắt mà còn giúp thịt được săn lại  giữ trọn độ ẩm. Ức gà càng tươi áp chảo sẽ càng ngon. | Dùng 1 chiếc chảo sâu lòng hoặc nồi chống dính bắc lên bếp chờ nóng thì cho dầu ăn vào  phi thơm hành và tỏi băm để món ăn dậy mùi và thơm ngon hơn. Tránh để lửa quá lớn sẽ mau khét hành tỏi. Khi tỏi và hành vừa vàng tới thì cho vào nước dừa  tương cà  đường trắng  phần nước tương MAGGI và hạt nêm MAGGI nấm hương còn lại vào  khuấy đều cho toàn bộ gia vị hòa quyện với nhau. | Đun hỗn hợp nước sốt đến khi sôi lên thì cho ức gà đã áp chảo và nho đã sơ chế vào. Trộn nhẹ lên rồi chỉnh lửa nhỏ  đậy nắp lại rim ức gà trong khoảng 15 phút. Lúc này nho sẽ mềm ra và hòa quyện hương vị ngọt thanh từ trái cây tươi vào nước sốt. Rim đến khi nước sốt keo lại  gà áo lên màu nâu đỏ đẹp mắt của nước sốt thì rắc thêm hành lá cắt nhỏ lên trên rồi tắt bếp. | Trình bày ức gà phi lê sốt nho ra dĩa và thưởng thức thôi. Ức gà rim lâu trong nước sốt nhưng không hề bị mất đi vị ngọt vốn có mà càng đậm đà cuốn hút hơn. Miếng ức gà vừa ăn  xém cạnh vừa thơm vừa hòa quyện cùng sốt nho mặn mặn ngọt ngọt sẽ cho bạn trải nghiệm món ăn ngon trên cả tưởng tượng.,https://www.maggi.com.vn/cong-thuc/uc-ga-phi-le-sot-trai-nho
